
    # |      % | total% | amount | word
 ---------------------------------------
  453 |  0.021 | 69.059 |    416 | appeared 
  454 |  0.021 | 69.080 |    415 | low 
  455 |  0.021 | 69.100 |    413 | gentleman 
  456 |  0.021 | 69.121 |    413 | hardly 
  457 |  0.021 | 69.142 |    413 | beth 
  458 |  0.021 | 69.163 |    411 | second 
  459 |  0.021 | 69.183 |    411 | mine 
  460 |  0.021 | 69.204 |    410 | became 
  461 |  0.021 | 69.225 |    410 | wild 
  462 |  0.021 | 69.245 |    409 | strong 
  463 |  0.020 | 69.266 |    405 | try 
  464 |  0.020 | 69.286 |    404 | opened 
  465 |  0.020 | 69.306 |    402 | remember 
  466 |  0.020 | 69.327 |    402 | general 
  467 |  0.020 | 69.347 |    401 | ought 
  468 |  0.020 | 69.367 |    400 | march 
  469 |  0.020 | 69.387 |    400 | seems 
  470 |  0.020 | 69.407 |    399 | tried 
  471 |  0.020 | 69.427 |    399 | comes 
  472 |  0.020 | 69.447 |    398 | couldn't 
  473 |  0.020 | 69.467 |    398 | thousand 
  474 |  0.020 | 69.488 |    398 | alice 
  475 |  0.020 | 69.508 |    397 | able 
  476 |  0.020 | 69.528 |    397 | husband 
  477 |  0.020 | 69.548 |    397 | whales 
  478 |  0.020 | 69.568 |    396 | arm 
  479 |  0.020 | 69.587 |    393 | license 
  480 |  0.020 | 69.607 |    393 | year 
  481 |  0.020 | 69.627 |    393 | during 
  482 |  0.020 | 69.647 |    392 | order 
  483 |  0.020 | 69.666 |    392 | de 
  484 |  0.020 | 69.686 |    391 | boy 
  485 |  0.019 | 69.706 |    387 | across 
  486 |  0.019 | 69.725 |    387 | several 
  487 |  0.019 | 69.745 |    387 | fine 
  488 |  0.019 | 69.764 |    386 | glad 
  489 |  0.019 | 69.783 |    385 | longer 
  490 |  0.019 | 69.803 |    380 | replied 
  491 |  0.019 | 69.822 |    380 | trouble 
  492 |  0.019 | 69.841 |    380 | show 
  493 |  0.019 | 69.860 |    379 | hours 
  494 |  0.019 | 69.879 |    377 | red 
  495 |  0.019 | 69.898 |    377 | question 
  496 |  0.019 | 69.917 |    377 | ' 
  497 |  0.019 | 69.936 |    375 | form 
  498 |  0.019 | 69.955 |    375 | donations 
  499 |  0.019 | 69.974 |    374 | ten 
  500 |  0.019 | 69.992 |    372 | become 
  501 |  0.019 | 70.011 |    372 | please 
  502 |  0.019 | 70.030 |    371 | boat 
  503 |  0.019 | 70.048 |    371 | darcy 
  504 |  0.019 | 70.067 |    369 | taking 
  505 |  0.019 | 70.086 |    369 | sent 
  506 |  0.019 | 70.104 |    368 | added 
  507 |  0.018 | 70.123 |    367 | followed 
  508 |  0.018 | 70.141 |    367 | bad 
  509 |  0.018 | 70.160 |    367 | rose 
  510 |  0.018 | 70.178 |    367 | quiet 
  511 |  0.018 | 70.197 |    366 | run 
  512 |  0.018 | 70.215 |    366 | stand 
  513 |  0.018 | 70.233 |    365 | women 
  514 |  0.018 | 70.252 |    364 | captain 
  515 |  0.018 | 70.270 |    363 | certainly 
  516 |  0.018 | 70.288 |    363 | none 
  517 |  0.018 | 70.307 |    363 | nearly 
  518 |  0.018 | 70.325 |    363 | hundred 
  519 |  0.018 | 70.343 |    362 | five 
  520 |  0.018 | 70.361 |    361 | struck 
  521 |  0.018 | 70.380 |    361 | blood 
  522 |  0.018 | 70.398 |    361 | hester 
  523 |  0.018 | 70.416 |    360 | pleasure 
  524 |  0.018 | 70.434 |    360 | lord 
  525 |  0.018 | 70.452 |    360 | truth 
  526 |  0.018 | 70.470 |    359 | river 
  527 |  0.018 | 70.488 |    359 | late 
  528 |  0.018 | 70.506 |    357 | ground 
  529 |  0.018 | 70.524 |    357 | copyright 
  530 |  0.018 | 70.542 |    356 | silence 
  531 |  0.018 | 70.560 |    355 | except 
  532 |  0.018 | 70.578 |    355 | madame 
  533 |  0.018 | 70.596 |    355 | jim 
  534 |  0.018 | 70.614 |    354 | minute 
  535 |  0.018 | 70.632 |    354 | stay 
  536 |  0.018 | 70.649 |    354 | dr 
  537 |  0.018 | 70.667 |    353 | literary 
  538 |  0.018 | 70.685 |    352 | living 
  539 |  0.018 | 70.703 |    348 | ill 
  540 |  0.017 | 70.720 |    346 | walked 
  541 |  0.017 | 70.737 |    345 | character 
  542 |  0.017 | 70.755 |    345 | ago 
  543 |  0.017 | 70.772 |    344 | thoughts 
  544 |  0.017 | 70.789 |    344 | past 
  545 |  0.017 | 70.807 |    343 | wouldn't 
  546 |  0.017 | 70.824 |    343 | sense 
